Candidatos|Votos|Porcentaje
SEPULVEDA  MELLADO  GERMAN ANTONIO| 1,591|  0.13
MARIANGEL  CASTILLO  MARCELA| 1,590|  0.13
VEGA  GONZALEZ  FABIAN ANDRES| 1,578|  0.13
ABURTO  ARAVENA  SUSANA IVONNE| 1,576|  0.13
FRANCESCONI  RIQUELME  ROBERTO ANDRES| 1,567|  0.13
CASTILLO  GAETE  JOSE| 1,532|  0.13
SANTIBAÑEZ  NAVARRETE  MANUEL ANTONIO| 1,523|  0.13
SEPULVEDA  PAREDES  MARCELO| 1,516|  0.13
TORRES  CASTRO  SILVANA| 1,500|  0.13
ACUÑA  MOLINA  EDUARDO FROILAN| 1,474|  0.12
BENAVENTE  NAVARRETE  JUAN MIGUEL| 1,473|  0.12
INOSTROZA  TORRES  MACARENA ANDREA| 1,471|  0.12
TORRES  MACHUCA  ERNESTO ANDRES| 1,464|  0.12
FLORES  CARTES  VICTOR HUGO| 1,441|  0.12
MARTINEZ  HERNANDEZ  CARLOS EDUARDO| 1,437|  0.12
LEYTON  AEDO  SINTIA| 1,434|  0.12
PEREIRA  VIDAL  BLAS| 1,430|  0.12
MONCADA  ZUÑIGA  PABLO| 1,398|  0.12
GALLARDO  CONTRERAS  PAMELA| 1,392|  0.12
LAVIN  MIRANDA  MANFRED| 1,364|  0.11
SOUPER  ABURTO  PABLO NICOLAS| 1,363|  0.11
CABRERA  CAMPOS  FREDDY ESTEBAN| 1,349|  0.11
RODRIGUEZ  ALARCON  MARIO| 1,347|  0.11
HERNANDEZ  RIVAS  DAPHNE NAYARET PRISCILA| 1,344|  0.11
ISLAS  COFRE  LUIS ESTEBAN| 1,344|  0.11
VENEGAS  VILLA  JUAN CARLOS| 1,340|  0.11
FLORES  CEA  YESSICA| 1,338|  0.11
GAYOSO  SALGADO  MONICA| 1,301|  0.11
NAVARRO  PASTOR  GRACIELA VIVIANA| 1,299|  0.11
TORRES  ISLA  ALEXIS| 1,292|  0.11
ROCHA  FERNANDEZ  MICHAEL EDUARDO| 1,283|  0.11
SOBARZO  GARCIA  MANUEL ZENON DANILO| 1,282|  0.11
AGUAYO  SANCHEZ  ALDRIN YURI| 1,280|  0.11
VILLALOBOS  CARES  JULIETTE CRISTINA| 1,275|  0.11
ULLOA  ORTIZ  JUAN FERNANDO| 1,271|  0.11
CORDES  LAMAS  PIA| 1,260|  0.11
MORA  AROS  ANTONIO| 1,253|  0.11
RAMIREZ  GOMEZ  MIGUEL ANGEL| 1,240|  0.1
CORTES  BERNAL  HERNAN MAURICIO| 1,238|  0.1
MELLA  RIOS  SERGIO NEIL| 1,219|  0.1
ROZAS  CAMPOS  FLAVIA JUDITH| 1,202|  0.1
HENRIQUEZ  ARRIAGADA  OSCAR| 1,194|  0.1
URRUTIA  CARO  ANTONIO| 1,175|  0.1
GODOY  DIAZ  AMADO| 1,170|  0.1
LOPEZ  CARTES  JOSE ALEJANDRO| 1,160|  0.1
ACUÑA  BECERRA  DARWIN RODRIGO| 1,146|  0.1
SCHIRMER  PRIETO  ARNOLD| 1,144|  0.1
PARRA  CUADRA  OCTAVIO| 1,131|  0.09
LOPEZ  FARIAS  PAOLA ANDREA| 1,118|  0.09
ORELLANA  JEREZ  FABIOLA| 1,110|  0.09
ORTEGA  RODRIGUEZ  JUAN ESTEBAN| 1,102|  0.09
ARIAS  RUEDI  JUAN PABLO| 1,092|  0.09
OLATE  BRAVO  DEMETRIO MIGUEL| 1,076|  0.09
GONZALEZ  CATALAN  DIANA EDITH| 1,075|  0.09
ANCALEO  LEPILLAN  GERARDO| 1,075|  0.09
MENDEL  BELMAR  BENJAMIN| 1,040|  0.09
CARDENAS  SANDOVAL  KEVIN| 1,013|  0.08
GODOY  MONTERO  CLAUDIA ANDREA| 1,012|  0.08
CONEJEROS  CONEJEROS  AIDA| 985|  0.08
LANDAUR  SANCHEZ  DAVID| 982|  0.08
ARENAS  BELTRAN  GRISELLE MACARENA| 965|  0.08
MERINO  BARRIENTOS  CLAUDIO| 963|  0.08
MOLINA  MIRANDA  PEDRO| 952|  0.08
OLGUIN  FUENTES  KEREN INGERBORN| 950|  0.08
CHAMORRO  URIBE  LUIS ENRIQUE| 936|  0.08
CABA  ARRIAGADA  NELSON FAUSTINO| 917|  0.08
RAMIREZ  VERGARA  RAUL ANGEL| 862|  0.07
NOVA  VEGA  PAULINA LORENA| 862|  0.07
PALACIOS  JARA  ALEX| 857|  0.07
RAMOS  AVELLO  DOMINGO AVELINO| 855|  0.07
INZUNZA  PUENTES  JORDAN ARIEL| 852|  0.07
AREVALO  DIAZ  ESTEBAN MARIO| 850|  0.07
YAÑEZ  PIZARRO  MANUEL EDUARDO| 832|  0.07
MIGUIELES  PINILLA  FELIPE| 821|  0.07
REINOSO  CENDOYA  RODRIGO ANSELMO| 811|  0.07
BESARES  JARA  ADRIANA INES| 804|  0.07
CORONADO  RODRIGUEZ  JOSE| 801|  0.07
NELSON  MUÑOZ  AUKAN| 795|  0.07
VEGA  REYES  EDGARDO MAURICIO| 777|  0.07
JARA  CARVAJAL  ANGELO| 746|  0.06
SEGUEL  SANHUEZA  JORGE IVES| 710|  0.06
MIRANDA  ORMEÑO  PATRICIO EDUARDO| 606|  0.05
SPIERCCOLLI  HENRIQUEZ  OCTAVIO| 592|  0.05
PARDO  VENEGAS  TATIANA| 546|  0.05
RUZ  MONCADO  GUILLERMO| 531|  0.04
DIAZ  VILLAVICENCIO  LUIS HERNAN| 496|  0.04
Válidamente Emitidos| 880,610| 73.84
 Votos Nulos| 176,632| 14.81
 Votos Blanco| 135,424| 11.35
 Total| 1,192,666| 100.0
 
